"1","Aspergillus chevalieri"
"2","Aspergillus flavus"
"3","Aspergillus luchuensis"
"4","Aspergillus puulaauensis"
"5","Candida albicans"
"6","Colletotrichum lupini"
"7","Drechmeria coniospora"
"8","Fusarium fujikuroi"
"9","Fusarium graminearum"
"10","Fusarium venenatum"
"11","Fusarium verticillioides"
"12","Kazachstania naganishii"
"13","Kluyveromyces lactis"
"14","Malassezia restricta"
"15","Neurospora crassa"
"16","Ogataea parapolymorpha"
"17","Penicillium oxalicum"
"18","Pichia kudriavzevii"
"19","Puccinia striiformis"
"20","Purpureocillium takamizusanense"
"21","Saccharomyces cerevisiae"
"22","Schizosaccharomyces pombe"
"23","Sugiyamaella lignohabitans"
"24","Talaromyces rugulosus"
